"n_sov"	"ratio_n_sov_tot"	"ratio_n_sov_sp"
36674	0.070654781055718	0.764392013005961
"n_sovGrp"	"ratio_n_sovGrp_stot"	"ratio_n_sovGrp_sp"	"ratio_n_sovGrp_sov"	"o"
14	0.000026971885662	0.000291800408521	0.000381741833451	"Mo-Sa 11:00-23:00; Su 12:00-23:00"
14	0.000026971885662	0.000291800408521	0.000381741833451	"Mo-Sa 12:00-23:00"
14	0.000026971885662	0.000291800408521	0.000381741833451	"Tu-Su 11:00-21:00"
14	0.000026971885662	0.000291800408521	0.000381741833451	"10:00-20:00"
14	0.000026971885662	0.000291800408521	0.000381741833451	"Mo-Sa 10:00-24:00"
14	0.000026971885662	0.000291800408521	0.000381741833451	"Mo-Fr 11:30-15:00"
14	0.000026971885662	0.000291800408521	0.000381741833451	"Mo-Su 07:00-21:00"
14	0.000026971885662	0.000291800408521	0.000381741833451	"Mo-Fr 10:00-22:00; Sa-Su 11:00-22:00"
14	0.000026971885662	0.000291800408521	0.000381741833451	"Mo-Sa 09:30-20:00"
14	0.000026971885662	0.000291800408521	0.000381741833451	"18:00-24:00"
14	0.000026971885662	0.000291800408521	0.000381741833451	"Mo-Fr 10:00-17:00"
14	0.000026971885662	0.000291800408521	0.000381741833451	"Su-Th 12:00-24:00; Fr-Sa 12:00-02:00"
14	0.000026971885662	0.000291800408521	0.000381741833451	"11:30-15:00,17:30-23:00"
14	0.000026971885662	0.000291800408521	0.000381741833451	"Mo-Sa 18:00-22:00"
14	0.000026971885662	0.000291800408521	0.000381741833451	"Mo-Sa 10:00-21:00"
13	0.000025045322401	0.000270957522198	0.000354474559634	"Mo-Fr 11:30-13:30"
13	0.000025045322401	0.000270957522198	0.000354474559634	"Mo-Sa 11:00-22:00; Su 11:00-21:00"
13	0.000025045322401	0.000270957522198	0.000354474559634	"Mo-Sa 12:00-24:00"
13	0.000025045322401	0.000270957522198	0.000354474559634	"Mo-Sa 17:00-23:00"
13	0.000025045322401	0.000270957522198	0.000354474559634	"Tu-Su 11:00-14:00,17:00-23:00"
13	0.000025045322401	0.000270957522198	0.000354474559634	"Mo-Su 18:00-23:00"
