http://linkedgeodata.org/ontology/Restaurant
"n_sp"	"ratio_n_sp_stot"	"p"
1048	0.005486365230684	"http://linkedgeodata.org/ontology/contact%3Awebsite"
968	0.005067558724525	"http://linkedgeodata.org/ontology/source%3Aaddr"
830	0.0043451175014	"http://linkedgeodata.org/ontology/wheelchair%3Adescription"
788	0.004125244085667	"http://linkedgeodata.org/ontology/internationalName"
775	0.004057188028416	"http://linkedgeodata.org/ontology/url"
612	0.003203869772117	"http://linkedgeodata.org/ontology/isIn"
604	0.003161989121501	"http://linkedgeodata.org/ontology/fvst%3Anavnelbnr"
599	0.003135813714866	"http://linkedgeodata.org/ontology/layer"
595	0.003114873389558	"http://linkedgeodata.org/ontology/ref"
551	0.002884529811171	"http://linkedgeodata.org/ontology/historicalName"
534	0.002795533428612	"http://linkedgeodata.org/ontology/drive_in"
497	0.002601835419513	"http://linkedgeodata.org/ontology/source_ref"
495	0.002591365256859	"http://linkedgeodata.org/ontology/fixme"
444	0.002324376109183	"http://linkedgeodata.org/ontology/wikipedia"
414	0.002167323669373	"http://linkedgeodata.org/ontology/toilets%3Awheelchair"
409	0.002141148262738	"http://linkedgeodata.org/ontology/fhrs%3Aid"
406	0.002125443018757	"http://linkedgeodata.org/ontology/capacity"
404	0.002114972856103	"http://linkedgeodata.org/ontology/start_date"
389	0.002036446636198	"http://linkedgeodata.org/ontology/source%3Aname"
353	0.001847983708427	"http://linkedgeodata.org/ontology/payment%3Acash"
339	0.001774692569849	"http://linkedgeodata.org/ontology/addr%3Aunit"
331	0.001732811919233	"http://linkedgeodata.org/ontology/operator%3Aen"
316	0.001654285699328	"http://linkedgeodata.org/ontology/diet%3Avegetarian"
315	0.001649050618001	"http://linkedgeodata.org/ontology/wifi"
311	0.001628110292693	"http://linkedgeodata.org/ontology/toilets"
308	0.001612405048712	"http://linkedgeodata.org/ontology/fast_food"
307	0.001607169967385	"http://linkedgeodata.org/ontology/entrance"
290	0.001518173584827	"http://linkedgeodata.org/ontology/operator%3Aru"
277	0.001450117527576	"http://linkedgeodata.org/ontology/indoor"
269	0.00140823687696	"http://linkedgeodata.org/ontology/ele"
267	0.001397766714306	"http://linkedgeodata.org/ontology/ref%3Abag"
264	0.001382061470325	"http://linkedgeodata.org/ontology/contact%3Aemail"
243	0.001272124762458	"http://linkedgeodata.org/ontology/building%3Amaterial"
235	0.001230244111842	"http://linkedgeodata.org/ontology/source%3Apostcode"
233	0.001219773949188	"http://linkedgeodata.org/ontology/height"
229	0.00119883362388	"http://linkedgeodata.org/ontology/ref%3Avatin"
228	0.001193598542553	"http://linkedgeodata.org/ontology/roof%3Ashape"
227	0.001188363461226	"http://linkedgeodata.org/ontology/is_in%3Acity"
225	0.001177893298572	"http://linkedgeodata.org/ontology/source%3Abuilding"
224	0.001172658217245	"http://linkedgeodata.org/ontology/designation"
212	0.001109837241322	"http://linkedgeodata.org/ontology/diet%3Avegan"
211	0.001104602159995	"http://linkedgeodata.org/ontology/addr%3Aplace"
196	0.00102607594009	"http://linkedgeodata.org/ontology/addr%3Astreet%3Aname"
192	0.001005135614782	"http://linkedgeodata.org/ontology/contact%3Afacebook"
187	0.000978960208147	"http://linkedgeodata.org/ontology/FIXME"
186	0.00097372512682	"http://linkedgeodata.org/ontology/addr%3Astreet%3Atype"
