Number	Opening_hours	Distance
4	Mo-Fr 06:00-18:30; Sa 06:00-18:00; Su 08:00-18:00	0
4	Mo-Su 07:00-23:30	0
4	Mo-Fr 09:00-22:00; Sa,Su 11:00-22:00	0
4	Mo-Su 14:00-22:00	0
4	Th 00:00-00:00	0
4	unknown	4
4	10:00-23:00	1
4	7:00-20:00	1
4	05:00-21:30	1
4	Mo-Su 08:00-00:00	0
4	Tu-Sa 10:00-19:00	0
4	Mo-Sa 08:00-23:00	0
4	Mo-Fr 09:00-22:00; Sa-Su 10:00-22:00	0
4	Mo-Fr 11:00-17:00	0
4	Mo-Su 11:00-23:59	0
4	Mo-Fr 08:00-22:00; Sa,Su 09:00-22:00	0
4	Mo-Sa	2
4	Mo-Fr 09:00-18:00; Sa-Su 10:00-18:00	0
4	Mo-Fr 07:30-17:30	0
4	7:00-21:00	1
4	Mo-Su 00:00-02:00,08:00-24:00	0
4	Mo-Su 12:00-01:00	0
4	Mo-Sa 07:00-19:00; Su 07:00-18:00	0
4	7-3	3
4	Mo-Fr 10:00-24:00; Sa,Su 00:00-02:00,10:00-24:00	0
4	Mo-Fr 06:00-19:00; Sa 06:00-17:00	0
4	06:00-24:00	1
4	Mo-Fr 10:00-19:00; Sa 10:00-18:00	0
4	Mo-Fr 07:00-23:00;Sa-Su 08:00-23:00	0
4	Mo-Su 6:30-22:00	2
4	Mo-Fr 07:30-19:00	0
4	Mo-Su 10:30-22:00	0
4	Mo-Fr 07:00-22:00; Sa,Su,PH 07:00-21:00	0
4	06:30-22:00	1
4	Mo-Su 08:30-22:00	0
4	We-Su 12:00-18:00	0
4	Mo-Su 8:00-23:00	2
4	07:30-22:00	1
4	Mo-Fr 06:30-19:00; Sa 07:00-17:00; Su 09:00-17:00	0
4	Nov-Jan 00:00-00:00	4
4	Th-Su 10:00-18:00	0
4	8:00-21:00	1
4	06:00-18:00	1
4	07-23	3
4	Mo-Fr 06:00-19:00; Sa 06:00-18:00; Su 07:00-18:00	0
4	07:00-01:00	1
4	Mo-Fr 07:30-21:00; Sa,Su,PH 08:00-19:00	0
4	Mo-Fr 07:00-20:00; Sa,Su,PH 00:00-00:00	0
4	Mo-Fr 09:00-20:00; Sa 09:00-18:00	0
4	14:00-23:59	1
4	Mo-Fr 09:00-23:00; Sa-Su 10:00-23:00	0
4	Mo-Su 07:00-17:00	0
4	Mo-Su 11:30-23:00	0
4	13:00-18:00	1
4	Tu-Su 10:00-23:00	0
4	Mo-Fr 09:00-23:00; Sa,Su 10:00-23:00	0
4	07:30-20:00	1
4	9:00-18:00	1
4	Mo-Fr 08:30-16:30	0
4	12	4
4	08:00-23:00	1
4	Su	4
4	Tu-Su 10:00-18:00; Mo 00:00-00:00	0
4	Mo-Sa 10:00-22:00	0
4	Mo-Su 09:00-16:00	0
4	Mo-Su 04:00-03:00	0
4	Mo-Fr 07:00-22:00; Sa,Su,PH 07:00-20:00	0
4	Mo-Sa 08:00-18:00; Su 10:00-18:00	0
4	We-Su 11:00-17:00	0
4	Mo-Sa 08:00-20:00;Su 00:00-00:00	0
4	Mo-Sa 07:00-22:00	0
4	Tu-Su 10:00-17:00	0
4	Mo-Fr 09:00-20:00;Sa 09:00-18:00	0
3	Mo-Su 13:00-24:00	0
3	Mo-Su 08:00-16:00	0
3	11:00-23:30	1
3	Mo-Fr 08:00-23:00; Sa-Su 10:00-23:00	0
3	Mo-Su 13:00-23:00	0
3	Su 11:00-15:00	0
3	10:00-20:00	1
3	Mo-Fr 07:00-19:00; Sa 07:00-16:00	0
3	Mo-Fr 05:30-23:00; Sa-Su 06:00-23:00	0
3	Tu-Sa 09:00-18:00	0
3	Mo-Fr 08:00-17:30	0
3	Mo-Fr 08:00-22:00;Sa-Su 09:00-22:00	0
3	12:00-03:00	1
3	Mo-Su 12:00-21:00	0
3	12:00-16:00	1
3	Mo-Fr 11:00-24:00	0
3	Mo-Fr 08:00-16:00;Sa-Su 00:00-00:00	0
3	10:00-22:30	1
3	Mo-Fr 08:00-21:00; Sa 09:00-21:00; Su 10:00-20:00	0
3	07:30-15:00	1
3	Mo-Fr 09:00-18:00; Sa 09:00-15:00	0
3	Tu-Su 14:00-23:59	0
3	10:30-21:30	1
3	Mo-Fr 08:00-18:00; Sa-Su 10:00-18:00	0
3	Mo-Su 12:00-03:00	0
3	Mo-Fr 07:00-18:00; Sa 09:00-15:00	0
3	Sa,Su 14:00-17:00	0
3	Mo-Fr 12:00-15:00	0
3	Mo-Su 00:00-02:00,06:00-24:00	0
3	Mo-Su 10:00-20:00	0
3	Mo-Su 10:00-21:30	0
3	Mo-Fr 07:00-18:00; Sa,Su 08:00-18:00	0
3	Mo-Fr 12:00-24:00; Sa,Su 00:00-02:00,12:00-24:00	0
3	Mo-Fr 05:30-22:00; Sa-Su 06:00-22:00	0
3	Mo-Su 11:00-23:30	0
3	Mo-Fr 00:00-01:00,12:00-24:00; Sa,Su 00:00-02:00,12:00-24:00	0
3	Mo-Fr 07:30-22:30; Sa 08:00-22:30; Su,PH 08:00-22:00	0
3	Mo-Sa 07:30-22:00; Su,PH 08:00-21:00	0
3	wd 07:00-22:00	4
3	Mo-Fr 11:00-14:30	0
3	Mo-Sa 06:00-18:00; Su 08:00-18:00	0
3	Mo-Fr 06:30-22:00; Sa,Su,PH 08:00-22:00	0
3	Mo-Su 08:00-18:00; Tu 00:00-00:00	0
3	Mo-Sa 12:00-24:00	0
3	Mo-Su 08:00-17:00	0
3	11:30-22:00	1
3	Mo-Fr 07:00-19:00; Sa 09:00-19:00	0
3	Mo-Fr 08:00-18:00; Sa-Su 09:00-18:00	0
3	05:00-23:59	1
3	10:00-03:00	1
3	Mo-Fr 06:00-17:00	0
3	Mo-Sa 09:00-22:00	0
3	Mo-Fr 09:00-18:00; Sa 09:00-13:00	0
3	Mo-Fr 08:00-20:00; Sa,Su 10:00-20:00	0
3	Mo-Fr 11:00-18:00; Sa-Su 13:00-18:00	0
3	Mo-Su 00:00-02:00,11:00-24:00	0
3	Mo-Fr 08:00-18:00; Sa 08:00-12:00	0
3	10:00-15:00	1
3	Mo-Su 14:00-23:00	0
3	Mo-Fr 09:00-23:00; Sa-Su 11:00-23:00	0
3	Mo-Fr 08:00-20:00; Sa 09:00-20:00; Su 10:00-20:00	0
3	Mo-Fr 07:30-21:00; Sa 08:00-20:00; Su,PH 09:00-19:00	0
3	Tu-Su 10:00-16:00	0
3	Mo-Su 11:30-18:00	0
3	Mo-Sa 06:30-19:30	0
3	Tu-Su 09:00-20:00	0
3	Mo-Sa 07:00-18:00; Su 08:00-18:00	0
3	Mo-Fr 11:00-14:00	0
3	Mo-Fr 06:30-21:00; Sa,Su,PH 07:00-20:00	0
3	Mo-Fr 08:30-22:00	0
3	Mo-Fr 08:00-18:00; Sa 10:00-16:00	0
3	9:00-1:00	1
3	wd 07:00-21:00; Sa,Su,PH 08:00-20:00	0
