http://linkedgeodata.org/ontology/School
"n_sp"	"ratio_n_sp_stot"	"p"
2847	0.006600300456248	"http://linkedgeodata.org/ontology/addr%3Afull"
2754	0.006384695278015	"http://linkedgeodata.org/ontology/fire_hydrant%3Aflow_capacity"
http://linkedgeodata.org/ontology/LevelCrossing
"n_sp"	"ratio_n_sp_stot"	"p"
430840	1	"http://linkedgeodata.org/ontology/changeset"
430840	1	"http://linkedgeodata.org/ontology/version"
430701	0.999677374431343	"http://linkedgeodata.org/ontology/gadmSameAs"
33544	0.077857209172779	"http://linkedgeodata.org/ontology/source"
15595	0.036196731965463	"http://linkedgeodata.org/ontology/crossing%3Abarrier"
15188	0.035252065732058	"http://linkedgeodata.org/ontology/crossing%3Alight"
14328	0.033255965091449	"http://linkedgeodata.org/ontology/ref"
9391	0.021796954785999	"http://linkedgeodata.org/ontology/crossing%3Abell"
6507	0.01510305449819	"http://linkedgeodata.org/ontology/supervised"
3846	0.008926747748584	"http://linkedgeodata.org/ontology/railway%3Aposition"
3379	0.007842818679788	"http://linkedgeodata.org/ontology/crossing"
2653	0.006157738371553	"http://linkedgeodata.org/ontology/crossing%3Asaltire"
1632	0.003787949122644	"http://linkedgeodata.org/ontology/railway%3Aposition%3Aexact"
1630	0.003783307028131	"http://linkedgeodata.org/ontology/level_crossing"
1459	0.003386407947266	"http://linkedgeodata.org/ontology/note"
1300	0.003017361433479	"http://linkedgeodata.org/ontology/level_crossing%3Atype%3ARFF"
1203	0.002792219849596	"http://linkedgeodata.org/ontology/crossing%3Achicane"
1094	0.002539225698635	"http://linkedgeodata.org/ontology/ref%3ARFF%3Aligne"
984	0.002283910500418	"http://linkedgeodata.org/ontology/source_ref"
921	0.002137684523257	"http://linkedgeodata.org/ontology/crossing%3Aactivation"
891	0.002068053105561	"http://linkedgeodata.org/ontology/crossing%3Aon_demand"
885	0.002054126822022	"http://linkedgeodata.org/ontology/crossing%3Asupervision"
792	0.001838269427166	"http://linkedgeodata.org/ontology/note%3Aja"
789	0.001831306285396	"http://linkedgeodata.org/ontology/KSJ2%3ALIN"
740	0.001717574969826	"http://linkedgeodata.org/ontology/pk"
721	0.001673475071952	"http://linkedgeodata.org/ontology/level_crossing%3ARFF%3Atype"
549	0.001274254943831	"http://linkedgeodata.org/ontology/railway%3Aref"
374	0.000868071673939	"http://linkedgeodata.org/ontology/KSJ2%3Along"
374	0.000868071673939	"http://linkedgeodata.org/ontology/KSJ2%3Acoordinate"
374	0.000868071673939	"http://linkedgeodata.org/ontology/KSJ2%3Alat"
http://linkedgeodata.org/ontology/StopPosition
"n_sp"	"ratio_n_sp_stot"	"p"
374545	1	"http://linkedgeodata.org/ontology/version"
374545	1	"http://linkedgeodata.org/ontology/changeset"
374258	0.999233736934147	"http://linkedgeodata.org/ontology/gadmSameAs"
251326	0.671016833758293	"http://linkedgeodata.org/ontology/bus"
71845	0.191819407547825	"http://linkedgeodata.org/ontology/network"
71355	0.190511153532953	"http://linkedgeodata.org/ontology/operator"
50736	0.135460358568396	"http://linkedgeodata.org/ontology/ref"
40581	0.108347461586725	"http://linkedgeodata.org/ontology/source"
23414	0.062513182661629	"http://linkedgeodata.org/ontology/train"
21930	0.058551041930876	"http://linkedgeodata.org/ontology/tram"
21413	0.057170700449879	"http://linkedgeodata.org/ontology/wheelchair"
20832	0.055619484975103	"http://linkedgeodata.org/ontology/shelter"
12697	0.033899798422085	"http://linkedgeodata.org/ontology/uic_ref"
12077	0.03224445660735	"http://linkedgeodata.org/ontology/attribution"
8671	0.023150756250918	"http://linkedgeodata.org/ontology/bench"
8365	0.022333764968161	"http://linkedgeodata.org/ontology/local_ref"
8287	0.022125512288243	"http://linkedgeodata.org/ontology/uic_name"
7928	0.021167015979388	"http://linkedgeodata.org/ontology/ref%3AIFOPT"
7544	0.020141772016714	"http://linkedgeodata.org/ontology/route_ref"
7530	0.020104393330574	"http://linkedgeodata.org/ontology/note"
7293	0.019471625572361	"http://linkedgeodata.org/ontology/trolleybus"
6580	0.017567982485416	"http://linkedgeodata.org/ontology/zone"
5543	0.014799289804963	"http://linkedgeodata.org/ontology/VRS%3Aortsteil"
5537	0.014783270368047	"http://linkedgeodata.org/ontology/VRS%3Agemeinde"
5533	0.014772590743435	"http://linkedgeodata.org/ontology/VRS%3Aref"
5053	0.013491035790092	"http://linkedgeodata.org/ontology/share_taxi"
4900	0.013082540148714	"http://linkedgeodata.org/ontology/subway"
4856	0.012965064277991	"http://linkedgeodata.org/ontology/ele"
4391	0.011723557916939	"http://linkedgeodata.org/ontology/ref_name"
4301	0.011483266363187	"http://linkedgeodata.org/ontology/tactile_paving"
http://linkedgeodata.org/ontology/PowerLine
"n_sp"	"ratio_n_sp_stot"	"p"
349651	1	"http://linkedgeodata.org/ontology/changeset"
349651	1	"http://linkedgeodata.org/ontology/version"
200513	0.573466113353029	"http://linkedgeodata.org/ontology/voltage"
181390	0.518774435079551	"http://linkedgeodata.org/ontology/cables"
71916	0.205679377436358	"http://linkedgeodata.org/ontology/source"
62072	0.177525589802403	"http://linkedgeodata.org/ontology/frequency"
48331	0.138226402898891	"http://linkedgeodata.org/ontology/operator"
46034	0.131656995117989	"http://linkedgeodata.org/ontology/wires"
38494	0.110092635227698	"http://linkedgeodata.org/ontology/circuits"
23197	0.066343296601468	"http://linkedgeodata.org/ontology/line"
18689	0.053450440582181	"http://linkedgeodata.org/ontology/tiger%3Acfcc"
18286	0.052297862725975	"http://linkedgeodata.org/ontology/ref"
18206	0.052069063151543	"http://linkedgeodata.org/ontology/tiger%3Acounty"
17102	0.04891162902437	"http://linkedgeodata.org/ontology/tiger%3Areviewed"
12607	0.036055952935928	"http://linkedgeodata.org/ontology/tiger%3Asource"
12511	0.035781393446608	"http://linkedgeodata.org/ontology/tiger%3Atlid"
12367	0.035369554212629	"http://linkedgeodata.org/ontology/tiger%3Aupload_uuid"
7420	0.021221160528641	"http://linkedgeodata.org/ontology/fixme"
5809	0.016613709098501	"http://linkedgeodata.org/ontology/layer"
3621	0.010356040737764	"http://linkedgeodata.org/ontology/note"
2462	0.007041306903169	"http://linkedgeodata.org/ontology/phases"
2424	0.006932627105314	"http://linkedgeodata.org/ontology/gadmSameAs"
2217	0.006340608206469	"http://linkedgeodata.org/ontology/operator%3Aen"
1388	0.003969672616409	"http://linkedgeodata.org/ontology/length"
1067	0.003051614323997	"http://linkedgeodata.org/ontology/MCM"
761	0.002176455951792	"http://linkedgeodata.org/ontology/branch"
720	0.002059196169895	"http://linkedgeodata.org/ontology/endpoint%3Abusbar"
670	0.001916196435875	"http://linkedgeodata.org/ontology/type"
619	0.001770336707174	"http://linkedgeodata.org/ontology/source%3Aposition"
609	0.00174173676037	"http://linkedgeodata.org/ontology/tiger%3Aname_base"
http://linkedgeodata.org/ontology/TourismInformation
"n_sp"	"ratio_n_sp_stot"	"p"
313064	1	"http://linkedgeodata.org/ontology/changeset"
313064	1	"http://linkedgeodata.org/ontology/version"
308695	0.98604438709018	"http://linkedgeodata.org/ontology/gadmSameAs"
283557	0.905747706539238	"http://linkedgeodata.org/ontology/information"
99246	0.31701505123553	"http://linkedgeodata.org/ontology/hiking"
43136	0.1377865228835	"http://linkedgeodata.org/ontology/ele"
