http://linkedgeodata.org/ontology/opening_hours
"n_so"	"o"
5	"Mo-Sa 06:00-22:00"
5	"Mo-Sa 09:00-17:00"
5	"8:00-18:00"
5	"Mo-Su 07:00-16:00"
5	"Mo-Sa 11:00-16:00,20:00-02:00"
5	"06:00-20:00"
5	"Sa,Su 14:00-18:00"
5	"2015-04-25"
5	"Jun-Aug"
4	"Mo-Fr 08:30-15:00"
4	"Mo-Su 08:30-18:30"
4	"Mo-Sa 08:30-20:00"
4	"Mo-Sa 07:30-22:00; Su,PH 08:00-22:00"
4	"Tu off"
4	"08:00 - 02:00"
4	"Mo-Su 06:30-23:00"
4	"Sa,Su 10:00-18:00"
4	"Mo-Sa 07:00-23:00"
4	"07:00-23:30"
4	"Mo-Sa 08:00-21:00; Su 09:00-21:00"
4	"09:00-01:00"
4	"Mo-Sa 09:30-21:00; Su 10:00-20:00"
4	"Mo-Fr 07:00-21:00"
4	"Sa-Su 10:00-18:00"
4	"Mo-Fr 07:00-22:00; Sa,Su,PH 07:30-22:00"
4	"Mo-Fr 11:00-18:00"
4	"Mo-Sa 07:00-21:00; Su,PH 08:00-20:00"
4	"10:00 - 21:00"
4	"Mo-Su 08:00+"
4	"10:30-23:00"
4	"Mo-Fr 07:00-21:00;Sa-Su 08:00-21:00"
4	"Tu-Su 10:00-21:00"
4	"Mo-Sa 09:00-21:00; Su 09:00-20:00"
4	"wd 07:30-21:00"
4	"11:00-15:00"
4	"Mo-Fr 06:00-16:00"
4	"Mo-Su 8:00-17:00"
4	"14:00-23:00"
4	"Mo-Su 06:00-18:00"
4	"Mo-Fr 09:00-19:00; Sa 09:00-16:00"
4	"Mo-Su 09:00+"
4	"Mo-Sa 11:00-21:00"
4	"Tu-Su 09:00-22:00"
4	"Mo-Sa 09:00-20:00; Su 11:00-20:00"
4	"09:00-05:00"
4	"Mo-Su 7:00-21:00"
4	"Mo-Su 14:00-24:00"
4	"Sa-Su 10:00-16:00"
4	"Tu-Su 09:00-19:00"
4	"9:00-18:00"
4	"Mo-Sa 07:00-22:00; Su,PH 07:00-21:00"
4	"Mo-Sa 10:00-17:00"
4	"06:00-01:00"
4	"07:00-15:00"
4	"10:00-01:00"
4	"08:30-24:00"
4	"Th-Su 11:00-17:00"
4	"wd 07:00-21:00"
4	"Mo-Su 10:00-20:30"
4	"Mo-Fr 06:00-18:30; Sa 06:00-18:00; Su 08:00-18:00"
4	"Mo-Su 07:00-23:30"
4	"Mo-Fr 09:00-22:00; Sa,Su 11:00-22:00"
4	"Mo-Su 14:00-22:00"
4	"Th off"
4	"unknown"
4	"10:00 - 23:00"
4	"7:00-20:00"
4	"05:00-21:30"
4	"Mo-Su 08:00-00:00"
4	"Tu-Sa 10:00-19:00"
4	"Mo-Sa 08:00-23:00"
4	"Mo-Fr 09:00-22:00; Sa-Su 10:00-22:00"
4	"Mo-Fr 11:00-17:00"
4	"Mo-Su 11:00+"
4	"Mo-Fr 08:00-22:00; Sa,Su 09:00-22:00"
4	"Mo-Sa"
4	"Mo-Fr 09:00-18:00; Sa-Su 10:00-18:00"
4	"Mo-Fr 07:30-17:30"
4	"7:00-21:00"
4	"Mo-Su 00:00-02:00,08:00-24:00"
4	"Mo-Su 12:00-01:00"
4	"Mo-Sa 07:00-19:00; Su 07:00-18:00"
4	"7am - 3pm"
4	"Mo-Fr 10:00-24:00; Sa,Su 00:00-02:00,10:00-24:00"
4	"Mo-Fr 06:00-19:00; Sa 06:00-17:00"
4	"06:00-24:00"
4	"Mo-Fr 10:00-19:00; Sa 10:00-18:00"
4	"Mo-Fr 07:00-23:00;Sa-Su 08:00-23:00"
4	"Mo-Su 6:30-22:00"
4	"Mo-Fr 07:30-19:00"
4	"Mo-Su 10:30-22:00"
4	"Mo-Fr 07:00-22:00; Sa,Su,PH 07:00-21:00"
4	"06:30-22:00"
4	"Mo-Su 08:30-22:00"
4	"We-Su 12:00-18:00"
4	"Mo-Su 8:00-23:00"
4	"07:30-22:00"
4	"Mo-Fr 06:30-19:00; Sa 07:00-17:00; Su 09:00-17:00"
4	"Nov-Jan off"
4	"Th-Su 10:00-18:00"
4	"8:00-21:00"
4	"06:00-18:00"
4	"07-23"
4	"Mo-Fr 06:00-19:00; Sa 06:00-18:00; Su 07:00-18:00"
4	"07:00-01:00"
4	"Mo-Fr 07:30-21:00; Sa,Su,PH 08:00-19:00"
4	"Mo-Fr 07:00-20:00; Sa,Su,PH off"
4	"Mo-Fr 09:00-20:00; Sa 09:00-18:00"
4	"14:00+"
4	"Mo-Fr 09:00-23:00; Sa-Su 10:00-23:00"
4	"Mo-Su 07:00-17:00"
4	"Mo-Su 11:30-23:00"
4	"13:00-18:00"
4	"Tu-Su 10:00-23:00"
4	"Mo-Fr 09:00-23:00; Sa,Su 10:00-23:00"
4	"07:30-20:00"
4	"9:00 - 18:00"
4	"Mo-Fr 08:30-16:30"
4	"12"
4	"08:00 - 23:00"
4	"Su"
4	"Tu-Su 10:00-18:00; Mo off"
4	"Mo-Sa 10:00-22:00"
4	"Mo-Su 09:00-16:00"
4	"Mo-Su 04:00-03:00"
4	"Mo-Fr 07:00-22:00; Sa,Su,PH 07:00-20:00"
4	"Mo-Sa 08:00-18:00; Su 10:00-18:00"
4	"We-Su 11:00-17:00"
4	"Mo-Sa 08:00-20:00;Su off"
4	"Mo-Sa 07:00-22:00"
4	"Tu-Su 10:00-17:00"
4	"Mo-Fr 09:00-20:00;Sa 09:00-18:00"
3	"Mo-Su 13:00-24:00"
3	"Mo-Su 08:00-16:00"
3	"11:00-23:30"
3	"Mo-Fr 08:00-23:00; Sa-Su 10:00-23:00"
3	"Mo-Su 13:00-23:00"
3	"Su 11:00-15:00"
3	"10:00 - 20:00"
3	"Mo-Fr 07:00-19:00; Sa 07:00-16:00"
3	"Mo-Fr 05:30-23:00; Sa-Su 06:00-23:00"
3	"Tu-Sa 09:00-18:00"
3	"Mo-Fr 08:00-17:30"
3	"Mo-Fr 08:00-22:00;Sa-Su 09:00-22:00"
3	"12:00-03:00"
3	"Mo-Su 12:00-21:00"
3	"12:00-16:00"
3	"Mo-Fr 11:00-24:00"
3	"Mo-Fr 08:00-16:00;Sa-Su off"
3	"10:00-22:30"
3	"Mo-Fr 08:00-21:00; Sa 09:00-21:00; Su 10:00-20:00"
3	"07:30-15:00"
3	"Mo-Fr 09:00-18:00; Sa 09:00-15:00"
3	"Tu-Su 14:00+"
3	"10:30-21:30"
3	"Mo-Fr 08:00-18:00; Sa-Su 10:00-18:00"
3	"Mo-Su 12:00-03:00"
3	"Mo-Fr 07:00-18:00; Sa 09:00-15:00"
3	"Sa,Su 14:00-17:00"
3	"Mo-Fr 12:00-15:00"
3	"Mo-Su 00:00-02:00,06:00-24:00"
3	"mo-su 10:00-20:00"
3	"Mo-Su 10:00-21:30"
3	"Mo-Fr 07:00-18:00; Sa,Su 08:00-18:00"
3	"Mo-Fr 12:00-24:00; Sa,Su 00:00-02:00,12:00-24:00"
3	"Mo-Fr 05:30-22:00; Sa-Su 06:00-22:00"
3	"Mo-Su 11:00-23:30"
3	"Mo-Fr 00:00-01:00,12:00-24:00; Sa,Su 00:00-02:00,12:00-24:00"
3	"Mo-Fr 07:30-22:30; Sa 08:00-22:30; Su,PH 08:00-22:00"
3	"Mo-Sa 07:30-22:00; Su,PH 08:00-21:00"
3	"wd 07:00-22:00"
3	"Mo-Fr 11:00-14:30"
3	"Mo-Sa 06:00-18:00; Su 08:00-18:00"
3	"Mo-Fr 06:30-22:00; Sa,Su,PH 08:00-22:00"
3	"Mo-Su 08:00-18:00; Tu off"
3	"Mo-Sa 12:00-24:00"
3	"Mo-Su 08:00-17:00"
3	"11:30-22:00"
3	"Mo-Fr 07:00-19:00; Sa 09:00-19:00"
3	"Mo-Fr 08:00-18:00; Sa-Su 09:00-18:00"
3	"05:00+"
3	"10:00-03:00"
3	"Mo-Fr 06:00-17:00"
3	"Mo-Sa 09:00-22:00"
3	"Mo-Fr 09:00-18:00; Sa 09:00-13:00"
3	"Mo-Fr 08:00-20:00; Sa,Su 10:00-20:00"
3	"Mo-Fr 11:00-18:00; Sa-Su 13:00-18:00"
3	"Mo-Su 00:00-02:00,11:00-24:00"
3	"Mo-Fr 08:00-18:00; Sa 08:00-12:00"
