Number	Opening_hours	Distance
3	10:00-26:00	4
3	Mo-Fr 10:00-20:00; Sa 10:00-16:00	0
3	Mo-Fr 06:00-17:00	0
3	Mo-Fr 08:30-16:00	0
3	Mo-Fr 09:00-18:00; Sa 09:00-15:00	0
3	Mo-Fr 11:00-19:00; Sa 11:00-16:00	0
3	11:00-14:00,17:00-22:00	1
3	Mo-Su 16:00-21:30	0
3	Mo-Th 10:00-22:00; Fr-Sa 10:00-23:00; Su 10:00-22:00	0
3	08:00-21:30	1
3	09:00-19:00	1
3	Mo-Fr 11:30-13:30	0
3	Mo-Su 00:00-00:00	0
3	12:00-15:00	1
3	We 00:00-00:00	0
3	Su-Th 07:00-01:00; Fr-Sa 07:00-03:00	0
3	Mo-Sa 08:00-19:00	0
3	Mo-Su 10:00-22:00	0
3	Mo-Sa 10:00-20:00; Su 11:00-20:00	0
3	Mo-Fr 12:00-14:30, 19:00-22:30;Sa 12:00-23:00;Su 12:00-22:30	0
3	11:00-21:30	1
3	Mo-Su 17:00-21:00	0
3	Mo-Fr 10:30-18:00	0
3	Mo-Fr 07:30-14:00	0
3	11:00-26:00	4
3	Tu-Su 08:00-22:00	0
3	Mo-Su 17:00-23:59	0
3	Mo-Fr	2
3	Mo-Fr 09:00-21:00; Sa-Su 10:00-21:00	0
3	Mo-Sa 06:00-24:00; Su 07:00-24:00	0
3	Tu-Su 10:00-22:00	0
3	Mo-Su 12:00-22:00; Fr,Sa 12:00-23:00	0
3	Mo-Sa 11:00-23:00;Su 12:00-23:00	0
3	Mo-Su 07:00-04:00	0
3	Mo-Su 06:00-03:00	0
3	Mo-Fr 11:00-21:00; Sa 12:00-21:00	0
3	Mo-Su 00:00-24:00	0
3	Mo-Sa 08:00-23:00; Su 10:00-23:00	0
3	Mo-Fr 10:00-22:00; Sa,Su,PH 11:00-22:00	0
3	10:00-19:00	1
3	Mo-Fr 10:00-22:00; Sa 11:00-22:00; Su 12:00-22:00	0
3	Mo-Fr 10:00-21:00; Sa 11:00-20:00	0
3		4
3	Mo-Fr 09:00-14:00	0
3	9:00-24:00	1
3	Su-Th 12:00-22:00; Fr-Sa 12:00-23:00	0
3	Mo-Fr 11:00-23:00	0
3	Mo-Su 8:00-21:00	2
3	Mo-Sa 11:00-22:00;Su 12:00-20:00	0
3	Tu-Su 11:00-22:30	0
3	Mo-Fr 06:00-16:00	0
3	wd 11:00-23:00; Sa,Su,PH 10:00-23:00	0
3	Mo-Su 11:00-22:00; Th-Sa 00:00-04:00,11:00-24:00	0
3	Mo-Fr 11:00-23:00; Sa,Su,PH 10:00-23:00	0
3	05:00-22:00	1
3	Mo-Th 08:00-22:00; Fr-Su 08:00-24:00	0
3	Su,Mo-We 11:00-22:00; Th-Sa 11:00-04:00	0
3	Mo-Su 10:00-17:00	0
3	Mo-Fr 10:00-23:00	0
3	Mo-Su 12:00-01:00	0
3	10:00-13:30	1
3	Mo-Fr 07:00-22:00	0
