"n_sp"	"ratio_n_sp_stot"
47978	0.092432652164783
"n_spGrp"	"ratio_n_spGrp_stot"	"ratio_n_spGrp_sp"	"o"
16	0.000030825012186	0.000333486181166	"Tu-Su 11:30-14:30,17:30-23:00"
16	0.000030825012186	0.000333486181166	"Mo-Fr 11:00-14:30"
16	0.000030825012186	0.000333486181166	"Tu-Sa 18:00+"
15	0.000028898448924	0.000312643294843	"Mo-Fr 11:00-18:00"
15	0.000028898448924	0.000312643294843	"10:00-02:00"
15	0.000028898448924	0.000312643294843	"Tu-Su 11:30-14:30,17:30-23:30"
15	0.000028898448924	0.000312643294843	"Mo-Sa 11:30-22:00"
15	0.000028898448924	0.000312643294843	"Mo-Fr 10:00-16:00"
15	0.000028898448924	0.000312643294843	"11:30-14:30,17:30-23:00"
15	0.000028898448924	0.000312643294843	"Tu-Su 18:00-23:00"
15	0.000028898448924	0.000312643294843	"Mo-Su 13:00-23:00"
15	0.000028898448924	0.000312643294843	"We-Su 17:00+"
15	0.000028898448924	0.000312643294843	"Mo-Su 11:30-15:00,17:00-23:00"
15	0.000028898448924	0.000312643294843	"Mo-Fr 11:00-13:30"
15	0.000028898448924	0.000312643294843	"10:00 - 22:00"
15	0.000028898448924	0.000312643294843	"Mo-Su 11:00-23:00; Fr,Sa 11:00-24:00"
15	0.000028898448924	0.000312643294843	"11:30+"
15	0.000028898448924	0.000312643294843	"Mo-Sa 11:00-23:00; Su 11:00-22:00"
15	0.000028898448924	0.000312643294843	"Mo-Su 12:00-02:00"
15	0.000028898448924	0.000312643294843	"Mo-Fr 11:00-23:00"
15	0.000028898448924	0.000312643294843	"Mo-Su 11:30-22:30"
14	0.000026971885662	0.000291800408521	"Mo-Sa 18:00+"
14	0.000026971885662	0.000291800408521	"Mo-Fr 11:00-22:00;Sa-Su 12:00-22:00"
14	0.000026971885662	0.000291800408521	"Mo-Su 00:00-02:00,11:00-24:00"
14	0.000026971885662	0.000291800408521	"11:00-18:00"
14	0.000026971885662	0.000291800408521	"17:00-01:00"
14	0.000026971885662	0.000291800408521	"Tu-Su 12:00-24:00"
14	0.000026971885662	0.000291800408521	"Mo-Su 16:00-23:00"
14	0.000026971885662	0.000291800408521	"Mo-Sa 11:00-23:00; Su 12:00-23:00"
14	0.000026971885662	0.000291800408521	"Mo-Sa 12:00-23:00"
14	0.000026971885662	0.000291800408521	"Tu-Su 11:00-21:00"
14	0.000026971885662	0.000291800408521	"10:00-20:00"
14	0.000026971885662	0.000291800408521	"Mo-Sa 10:00-24:00"
14	0.000026971885662	0.000291800408521	"Mo-Fr 11:30-15:00"
14	0.000026971885662	0.000291800408521	"Mo-Su 07:00-21:00"
14	0.000026971885662	0.000291800408521	"Mo-Fr 10:00-22:00; Sa-Su 11:00-22:00"
14	0.000026971885662	0.000291800408521	"Mo-Sa 09:30-20:00"
14	0.000026971885662	0.000291800408521	"18:00-24:00"
14	0.000026971885662	0.000291800408521	"Mo-Fr 10:00-17:00"
14	0.000026971885662	0.000291800408521	"Su-Th 12:00-24:00; Fr-Sa 12:00-02:00"
14	0.000026971885662	0.000291800408521	"11:30-15:00,17:30-23:00"
14	0.000026971885662	0.000291800408521	"Mo-Sa 18:00-22:00"
14	0.000026971885662	0.000291800408521	"summer"
14	0.000026971885662	0.000291800408521	"Mo-Sa 10:00-21:00"
14	0.000026971885662	0.000291800408521	"11am - 10pm"
13	0.000025045322401	0.000270957522198	"Mo-Fr 11:30-13:30"
13	0.000025045322401	0.000270957522198	"Mo-Sa 11:00-22:00; Su 11:00-21:00"
13	0.000025045322401	0.000270957522198	"Mo-Su off"
13	0.000025045322401	0.000270957522198	"Mo-Sa 12:00-24:00"
13	0.000025045322401	0.000270957522198	"Mo-Sa 17:00-23:00"
13	0.000025045322401	0.000270957522198	"Mo-Su 18:00+"
13	0.000025045322401	0.000270957522198	"Tu-Su 11:00-14:00,17:00-23:00"
13	0.000025045322401	0.000270957522198	"Th-Tu"
13	0.000025045322401	0.000270957522198	"Mo-Su 18:00-23:00"
13	0.000025045322401	0.000270957522198	"Mo-Fr 08:00-24:00; Sa,Su 10:00-24:00"
13	0.000025045322401	0.000270957522198	"Mo-Su 10:00-00:00"
13	0.000025045322401	0.000270957522198	"Mo-Fr 11:00-24:00; Sa,Su 12:00-24:00"
13	0.000025045322401	0.000270957522198	"Mo-Fr 11:00-22:00"
13	0.000025045322401	0.000270957522198	"Mo-Su 11:30-21:00"
13	0.000025045322401	0.000270957522198	"Mo-Su 11:30-15:00,17:30-24:00"
13	0.000025045322401	0.000270957522198	"17:30-24:00"
13	0.000025045322401	0.000270957522198	"18:00+"
13	0.000025045322401	0.000270957522198	"Mo-Su ""please add opening times"""
13	0.000025045322401	0.000270957522198	"Mo-Su 11:30-14:30, 18:30-22:30"
12	0.000023118759139	0.000250114635875	"10:30-23:00"
12	0.000023118759139	0.000250114635875	"Mo-Fr 08:00-17:00"
12	0.000023118759139	0.000250114635875	"Mo-Th 12:00-22:00; Fr-Sa 12:00-23:00; Su 12:00-22:00"
12	0.000023118759139	0.000250114635875	"Su-Th 11:30-22:00; Fr-Sa 11:30-23:00"
12	0.000023118759139	0.000250114635875	"Tu-Su 10:00-24:00"
12	0.000023118759139	0.000250114635875	"Mo-Sa 08:00-22:00"
12	0.000023118759139	0.000250114635875	"15:00-22:00"
12	0.000023118759139	0.000250114635875	"12:00-22:30"
12	0.000023118759139	0.000250114635875	"08:00-21:00"
12	0.000023118759139	0.000250114635875	"11:30-22:30"
12	0.000023118759139	0.000250114635875	"Mo-Su 08:30-20:00"
12	0.000023118759139	0.000250114635875	"Mo-Sa 11:00-24:00"
12	0.000023118759139	0.000250114635875	"00:00-24:00"
12	0.000023118759139	0.000250114635875	"Mo-Sa 18:00-23:00"
12	0.000023118759139	0.000250114635875	"Su-Th 10:00-22:00; Fr-Sa 10:00-23:00"
12	0.000023118759139	0.000250114635875	"sunrise-sunset"
12	0.000023118759139	0.000250114635875	"06:00-22:00"
12	0.000023118759139	0.000250114635875	"Mo-Su 06:30-23:00"
11	0.000021192195878	0.000229271749552	"Mo-Su 16:00-24:00"
11	0.000021192195878	0.000229271749552	"Tu-Su 11:30-14:00,17:30-23:00"
11	0.000021192195878	0.000229271749552	"09:00-18:00"
11	0.000021192195878	0.000229271749552	"Mo-Fr 11:00-20:00"
11	0.000021192195878	0.000229271749552	"Mo-Su 18:00-01:00"
11	0.000021192195878	0.000229271749552	"Mo-Sa 17:00-01:00"
11	0.000021192195878	0.000229271749552	"11:30-21:30"
11	0.000021192195878	0.000229271749552	"Mo-Su 09:00-18:00"
11	0.000021192195878	0.000229271749552	"Mo-Fr 09:00-17:00"
11	0.000021192195878	0.000229271749552	"09:00-20:00"
11	0.000021192195878	0.000229271749552	"Su-Th 11:00-21:00;Fr-Sa 11:00-22:00"
11	0.000021192195878	0.000229271749552	"Mo-Sa 11:00-22:00; Su 12:00-22:00"
11	0.000021192195878	0.000229271749552	"Mo-Su 12:00-15:00,18:00-24:00"
11	0.000021192195878	0.000229271749552	"Mo-Su 08:00-00:00"
11	0.000021192195878	0.000229271749552	"Mo-Su 10:30-21:00"
11	0.000021192195878	0.000229271749552	"Th-Su"
11	0.000021192195878	0.000229271749552	"We-Su 11:00-23:00"
11	0.000021192195878	0.000229271749552	"12:00-23:30"
11	0.000021192195878	0.000229271749552	"10:00-00:00"
11	0.000021192195878	0.000229271749552	"Mo-Fr 09:00-15:00"
11	0.000021192195878	0.000229271749552	"Tu-Sa 18:00-22:00"
11	0.000021192195878	0.000229271749552	"Mo-Su 09:00-17:00"
11	0.000021192195878	0.000229271749552	"Fr-Su"
11	0.000021192195878	0.000229271749552	"Mo-Su 00:00-01:00,12:00-24:00"
11	0.000021192195878	0.000229271749552	"Mo-Su 00:00-02:00,12:00-24:00"
11	0.000021192195878	0.000229271749552	"Mo-Su 10:00-19:00"
11	0.000021192195878	0.000229271749552	"Mo-Su 12:00-14:30,19:00-22:30"
11	0.000021192195878	0.000229271749552	"Mo-Su 12:00-20:00"
11	0.000021192195878	0.000229271749552	"Mo-Fr 09:00-16:00"
11	0.000021192195878	0.000229271749552	"Mo-Su 10:30-24:00"
11	0.000021192195878	0.000229271749552	"Mo-Sa 09:00-20:00"
11	0.000021192195878	0.000229271749552	"Mo-Su 11:30-14:00,17:00-23:00"
11	0.000021192195878	0.000229271749552	"10:00-17:00"
11	0.000021192195878	0.000229271749552	"Mo-Sa 11:00-21:30"
11	0.000021192195878	0.000229271749552	"11am-10pm"
11	0.000021192195878	0.000229271749552	"Mo-Su 07:00-02:00"
11	0.000021192195878	0.000229271749552	"Mo-Su 06:00-22:00"
11	0.000021192195878	0.000229271749552	"11:00-15:00"
11	0.000021192195878	0.000229271749552	"Mo-Fr 10:00-14:00"
11	0.000021192195878	0.000229271749552	"http://www.krems.gv.at/system/web/kalender.aspx?bezirkonr=0&menuonr=218454476&typid=120875890&detailonr=120875890"
10	0.000019265632616	0.000208428863229	"Mo-Sa 10:00-23:00"
10	0.000019265632616	0.000208428863229	"Mo-Sa 17:00-22:00"
10	0.000019265632616	0.000208428863229	"Tu-Su 11:30-23:00"
10	0.000019265632616	0.000208428863229	"10:00-18:00"
10	0.000019265632616	0.000208428863229	"Mo-Su 11:00-24:00; Fr,Sa 11:00-06:00"
10	0.000019265632616	0.000208428863229	"Mo-Su 08:00-18:00"
10	0.000019265632616	0.000208428863229	"Mo-Sa 11:00-24:00; Su 11:00-23:00"
10	0.000019265632616	0.000208428863229	"Mo-Su 08:30-23:00"
10	0.000019265632616	0.000208428863229	"Mo-Sa 11:00-22:00; Su 12:00-21:00"
10	0.000019265632616	0.000208428863229	"Tu-Sa 17:00+"
10	0.000019265632616	0.000208428863229	"Mo-Sa 10:30-22:00"
10	0.000019265632616	0.000208428863229	"Mo-Sa 10:00-22:00; Su 12:00-22:00"
10	0.000019265632616	0.000208428863229	"Mo-Fr 07:30-16:00"
10	0.000019265632616	0.000208428863229	"10:30-21:00"
10	0.000019265632616	0.000208428863229	"Mo-Su 16:00+"
10	0.000019265632616	0.000208428863229	"Mo-Su 13:00-22:00"
10	0.000019265632616	0.000208428863229	"17:00-21:00"
10	0.000019265632616	0.000208428863229	"null"
10	0.000019265632616	0.000208428863229	"Mo-Su 13:00-24:00"
10	0.000019265632616	0.000208428863229	"Tu-Su 11:30-14:30, 17:30-23:00"
10	0.000019265632616	0.000208428863229	"Mo-Fr 10:00-22:00"
10	0.000019265632616	0.000208428863229	"Tu-Su 18:00-22:00"
10	0.000019265632616	0.000208428863229	"Mo-Sa 09:00-22:00"
10	0.000019265632616	0.000208428863229	"06:00-23:00"
10	0.000019265632616	0.000208428863229	"Su-Th 10:00-01:00; Fr-Sa 10:00-02:00"
10	0.000019265632616	0.000208428863229	"08:00-18:00"
10	0.000019265632616	0.000208428863229	"Mo-Su 06:00-23:00"
10	0.000019265632616	0.000208428863229	"Tu-Su 10:00-23:00"
10	0.000019265632616	0.000208428863229	"Mo-Su 09:00-20:00"
10	0.000019265632616	0.000208428863229	"Mo-Fr 12:00-15:00"
10	0.000019265632616	0.000208428863229	"Mo-Th 11:00-23:00; Fr-Sa 11:00-24:00; Su 11:00-23:00"
10	0.000019265632616	0.000208428863229	"Mo-Su 09:00-19:00"
10	0.000019265632616	0.000208428863229	"Mo-Sa 12:00-14:30,19:00-22:30"
10	0.000019265632616	0.000208428863229	"Mo-Su 11:30-14:30, 17:30-23:30"
10	0.000019265632616	0.000208428863229	"Mo-Fr 12:00-24:00; Sa,Su 00:00-02:00,12:00-24:00"
10	0.000019265632616	0.000208428863229	"Mo-Su 11:00-22:00; Fr,Sa 11:00-23:00"
10	0.000019265632616	0.000208428863229	"Mo-Th 11:00-22:00;Fr 11:00-23:00;Sa 12:00-23:00;Su 12:00-22:00"
10	0.000019265632616	0.000208428863229	"Mo-Sa 09:00-21:00; Su 09:00-20:00"
10	0.000019265632616	0.000208428863229	"Mo-Su 11:30-00:00"
10	0.000019265632616	0.000208428863229	"Tu-Su 12:00-21:00"
10	0.000019265632616	0.000208428863229	"Mo-Su 11:30-15:00, 17:30-23:00"
10	0.000019265632616	0.000208428863229	"Sa-Su 00:00-24:00"
10	0.000019265632616	0.000208428863229	"Mo-Sa 11:00-15:00"
10	0.000019265632616	0.000208428863229	"Tu-Su 12:00-14:30,18:00-23:00"
10	0.000019265632616	0.000208428863229	"Mo-Sa 17:30-22:00"
10	0.000019265632616	0.000208428863229	"Tu-Su 11:30-24:00"
9	0.000017339069354	0.000187585976906	"Mo-Fr 10:00-15:00"
9	0.000017339069354	0.000187585976906	"Tu-Su 17:30-22:00"
9	0.000017339069354	0.000187585976906	"11:00-14:00"
9	0.000017339069354	0.000187585976906	"We-Su 11:00-24:00"
9	0.000017339069354	0.000187585976906	"11:30 - 23:00"
9	0.000017339069354	0.000187585976906	"Su-Sa 11:00-22:00"
9	0.000017339069354	0.000187585976906	"Mo-Fr 10:00-20:00"
9	0.000017339069354	0.000187585976906	"Mo-Su 11:00-19:00"
9	0.000017339069354	0.000187585976906	"Mo-Su 12:00-24:00; Fr,Sa 12:00-06:00"
9	0.000017339069354	0.000187585976906	"Mo-Sa 08:00-20:00"
9	0.000017339069354	0.000187585976906	"Mo-Su 10:00-22:00; Fr,Sa 10:00-23:00"
9	0.000017339069354	0.000187585976906	"Su-Th 11:30-23:00; Fr-Sa 11:30-24:00"
9	0.000017339069354	0.000187585976906	"Tu-Su 11:30-15:00,17:30-23:00"
9	0.000017339069354	0.000187585976906	"Mo-Sa 08:00-23:00"
9	0.000017339069354	0.000187585976906	"Mo-Fr 11:00-22:00;Sa 12:00-22:00;Su 12:00-21:00"
9	0.000017339069354	0.000187585976906	"Mo-Su 10:00-17:00"
9	0.000017339069354	0.000187585976906	"7:00-22:00"
9	0.000017339069354	0.000187585976906	"We-Su 11:30-22:00"
9	0.000017339069354	0.000187585976906	"WD 11:00-24:00; Sa,Su,PH 10:00-24:00"
