?n	?predicate
43	<http://linkedgeodata.org/ontology/source%3Acuisine>
43	<http://linkedgeodata.org/ontology/usar_addr%3Aedit_date>
42	<http://linkedgeodata.org/ontology/capacity%3Aovernight>
42	<http://linkedgeodata.org/ontology/ethnicity>
42	<http://linkedgeodata.org/ontology/source_type_imagery>
41	<http://linkedgeodata.org/ontology/drink%3Aclub-mate>
41	<http://linkedgeodata.org/ontology/payment%3Adiscover_card>
41	<http://linkedgeodata.org/ontology/self_service>
40	<http://linkedgeodata.org/ontology/dcgis%3Agis_id>
40	<http://linkedgeodata.org/ontology/garmin%3Adescription>
40	<http://linkedgeodata.org/ontology/name_1>
40	<http://linkedgeodata.org/ontology/payment%3Avisa_debit>
39	<http://linkedgeodata.org/ontology/addr%3Ahamlet%3Ade>
39	<http://linkedgeodata.org/ontology/addr%3Ahamlet%3Ait>
39	<http://linkedgeodata.org/ontology/alcohol>
39	<http://linkedgeodata.org/ontology/previous_name>
39	<http://linkedgeodata.org/ontology/project%3Aeurosha_2012>
38	<http://linkedgeodata.org/ontology/building_type>
38	<http://linkedgeodata.org/ontology/dcgis%3Acaptureyear>
38	<http://linkedgeodata.org/ontology/dogs>
38	<http://linkedgeodata.org/ontology/ele%3Asource>
38	<http://linkedgeodata.org/ontology/old_amenity>
38	<http://linkedgeodata.org/ontology/phone2>
38	<http://linkedgeodata.org/ontology/sangis%3AOBJECTID>
38	<http://linkedgeodata.org/ontology/sangis%3ATYPE>
38	<http://linkedgeodata.org/ontology/shower>
38	<http://linkedgeodata.org/ontology/source_type_walking_paper>
38	<http://linkedgeodata.org/ontology/surveillance>
37	<http://linkedgeodata.org/ontology/addr%3Astreet%3Afr>
36	<http://linkedgeodata.org/ontology/restaurant%3Atype%3Anl>
35	<http://linkedgeodata.org/ontology/addr%3Acity%3Aen>
35	<http://linkedgeodata.org/ontology/bag%3Agebruiksdoel>
35	<http://linkedgeodata.org/ontology/gnis%3Afeature_id>
35	<http://linkedgeodata.org/ontology/jpoi_id>
35	<http://linkedgeodata.org/ontology/motorcar>
35	<http://linkedgeodata.org/ontology/wheelchair%3Aaccess>
34	<http://linkedgeodata.org/ontology/addr%3Acity%3Afr>
34	<http://linkedgeodata.org/ontology/addr%3Acity%3Anl>
34	<http://linkedgeodata.org/ontology/addr%3Adirection>
34	<http://linkedgeodata.org/ontology/addr%3Ainterpolation>
34	<http://linkedgeodata.org/ontology/addr%3Astreet%3Anl>
34	<http://linkedgeodata.org/ontology/addr%3Asubcity>
34	<http://linkedgeodata.org/ontology/capacity%3Apersons>
34	<http://linkedgeodata.org/ontology/checked_exists%3Adate>
34	<http://linkedgeodata.org/ontology/reservation>
34	<http://linkedgeodata.org/ontology/speciality>
33	<http://linkedgeodata.org/ontology/beer>
33	<http://linkedgeodata.org/ontology/diaper>
33	<http://linkedgeodata.org/ontology/inscription>
33	<http://linkedgeodata.org/ontology/is_in%3Amunicipality>
33	<http://linkedgeodata.org/ontology/mobile>
33	<http://linkedgeodata.org/ontology/payment%3Agirocard>
33	<http://linkedgeodata.org/ontology/ref%3Abagid>
33	<http://linkedgeodata.org/ontology/source%3Alocation>
33	<http://linkedgeodata.org/ontology/website%3Aprice>
32	<http://linkedgeodata.org/ontology/addr%3Amunicipality>
32	<http://linkedgeodata.org/ontology/b5m%3Aid>
32	<http://linkedgeodata.org/ontology/b5m%3Aurl>
32	<http://linkedgeodata.org/ontology/b5m%3AurlOrto>
32	<http://linkedgeodata.org/ontology/building%3Alevel>
32	<http://linkedgeodata.org/ontology/outdoor>
31	<http://linkedgeodata.org/ontology/diet%3Ahalal>
30	<http://linkedgeodata.org/ontology/bag%3Aextract>
30	<http://linkedgeodata.org/ontology/bett%2Bbike%3Aref>
30	<http://linkedgeodata.org/ontology/date>
30	<http://linkedgeodata.org/ontology/disused%3Aamenity>
30	<http://linkedgeodata.org/ontology/menu>
30	<http://linkedgeodata.org/ontology/menu_languages>
30	<http://linkedgeodata.org/ontology/website_1>
29	<http://linkedgeodata.org/ontology/ID_SLH_IMPORT>
29	<http://linkedgeodata.org/ontology/drink%3Abeer>
29	<http://linkedgeodata.org/ontology/location>
29	<http://linkedgeodata.org/ontology/restaurant%3Ahandwashing>
29	<http://linkedgeodata.org/ontology/source%3Aopening_hours>
29	<http://linkedgeodata.org/ontology/tobacco>
29	<http://linkedgeodata.org/ontology/toilets%3Adisposal>
29	<http://linkedgeodata.org/ontology/water_tank%3Aquantity>
28	<http://linkedgeodata.org/ontology/building%3Acondition>
28	<http://linkedgeodata.org/ontology/floating>
